isbn,title,series,publisher,subject,subject_detail,grade,grade_min,grade_max,semester,level,price,image_url
9791162732779,용선생 15분 한국사 독해 1 (우리 역사의 시작~삼국 시대),용선생 15분 독해,BRICKS 사회평론,국어,독해/문해력,3,3,6,3,기본 5,11000,http://biblio.booxen.com/IMG_ISBN13/2023/03/9791162732779_L.jpg
9791197407000,"용선생 추론독해 초등 국어 1단계 (1, 2학년 권장)",용선생 추론독해,BRICKS 사회평론,국어,독해/문해력,1,1,2,3,기본 5,11000,http://biblio.booxen.com/IMG_ISBN13/2024/07/9791197407000_L.jpg
9791197407017,"용선생 추론독해 초등 국어 2단계 (2, 3학년 권장)",용선생 추론독해,BRICKS 사회평론,국어,독해/문해력,2,2,3,3,기본 5,11000,http://biblio.booxen.com/IMG_ISBN13/2024/07/9791197407017_L.jpg
9791197407024,"용선생 추론독해 초등 국어 3단계 (3, 4학년 권장)",용선생 추론독해,BRICKS 사회평론,국어,독해/문해력,3,3,4,3,기본 5,12000,http://biblio.booxen.com/IMG_ISBN13/2024/07/9791197407024_L.jpg
9791197407031,"용선생 추론독해 초등 국어 4단계 (4, 5학년 권장)",용선생 추론독해,BRICKS 사회평론,국어,독해/문해력,4,4,5,3,기본 5,12000,http://biblio.booxen.com/IMG_ISBN13/2024/07/9791197407031_L.jpg
9791197407048,"용선생 추론독해 초등 국어 5단계 (5, 6학년 권장)",용선생 추론독해,BRICKS 사회평론,국어,독해/문해력,5,5,6,3,기본 5,12000,http://biblio.booxen.com/IMG_ISBN13/2024/07/9791197407048_L.jpg
9791197407055,"용선생 추론독해 초등 국어 6단계 (6학년, 예비 중등 권장)",용선생 추론독해,BRICKS 사회평론,국어,독해/문해력,6,6,6,3,기본 5,12000,http://biblio.booxen.com/IMG_ISBN13/2024/07/9791197407055_L.jpg
9791162732786,용선생 15분 한국사 독해 2 (남북국 시대~고려 시대),용선생 15분 독해,BRICKS 사회평론,국어,독해/문해력,3,3,6,3,기본 5,11000,http://biblio.booxen.com/IMG_ISBN13/2023/03/9791162732786_L.jpg
9791162732359,용선생 15분 세계사 독해 1: 고대 (초등 독해력을 키우는 세계사 인물 이야기 120!),용선생 15분 독해,BRICKS 사회평론,국어,독해/문해력,3,3,6,3,기본 5,11000,http://biblio.booxen.com/IMG_ISBN13/2022/07/9791162732359_L.jpg
9791162732366,용선생 15분 세계사 독해 2: 중세 (초등 독해력을 키우는 세계사 인물 이야기 120!),용선생 15분 독해,BRICKS 사회평론,국어,독해/문해력,3,3,6,3,기본 5,11000,http://biblio.booxen.com/IMG_ISBN13/2022/07/9791162732366_L.jpg
9791162732373,용선생 15분 세계사 독해 3: 근대 (초등 독해력을 키우는 세계사 인물 이야기 120!),용선생 15분 독해,BRICKS 사회평론,국어,독해/문해력,3,3,6,3,기본 5,11000,http://biblio.booxen.com/IMG_ISBN13/2022/07/9791162732373_L.jpg
